,Name,ScreenName,Follow,Follower,TweetCount,Description
0,福の神ひっし〜（菱田光孝）,fukunokami7777,242,241,367,★ゆめのたね放送局 『福の神ひっし〜の大開運ラジオセラピー』のラジオパーソナリティをしています（関西チャンネル木曜日23時半〜）★開運日をお知らせします『福の神ひっし〜の開運予報』 ★幸運開運金運アップのつぶやきが大好きです！！
1,毎日が全力疾走 ゆめのたね放送局,everyday_power,30,15,19,"岡山の情報と、医療の世界で活躍する人を発信する、インターネットラジオ番組の「毎日が全力疾走」
ゆめのたね放送局岡山スタジオ から毎週水曜日7:30-8:00に放送中です。"
2,よしだ@おれたちLIVESMATTER,yoshida0202,1354,562,379,"元ワナビーのWebディレクター。
子供二人いるけど漫画家かラノベ作家あたりになりたい。 
まだいける。 
ポッドキャストで元ワナビーが漫画家、ライターにいろいろ聞くネットラジオやってます。 #おれたちLIVESMATTER #おれまた ▶︎ https://t.co/r7t558ElY0…"
3,衝動男児レディオ,shododanji,215,103,39,好奇心旺盛ロマンチスト”ユージン”と 偏見文化ハイエナ”マッツ”。 衝動でラジオを始めてしまった二人の若手ビジネスマンが、Z世代ならではの切り口で、世の中のあらゆるテーマについて べしゃり倒す。 Anchor、Spotifyで配信中！
4,ゆう,jcavzlxhpp,612,6,26,女子〇生とイケナイことしませんか？  😃
5,未来を創る学校🏫✨byミラクリ,miracli_ken,96,98,754,未来を創る学校(by未来クリエイション)公式アカウントです✨講座のご案内はもちろん、日常で役立つ心理学の情報や、ミラクリの日々の出来事などを発信しています。
6,【ポッドキャスト】純喫茶エピソード：毎週日曜深夜に配信,cafeepisode_jp,541,203,523,"@crema @necoze @k_yoshiaki324がお送りする、毎週日曜深夜に店じまい（配信）のPodcast。
Web系から時事/エンタメまで、3人の気になるトピックスを振り返りながら、まったりとお送りします。
番組のご感想は、DMもしくは #純喫茶エピソード を付けてツイートしてください！"
7,野口ひとみ,utopiaathome,83,58,834,一人ひとりの人生をミラクルに✨I want to make a lot of happy families.
8,中央大学児童文学研究会イーハトーヴ,chuo4339,520,539,390,中央大学公認部会・児童文学研究会イーハトーヴ📚です😀会室は4号館の4️⃣3️⃣3️⃣9️⃣号室です✌🏻活動は、児童文学🧒を読んだり絵🎨を描いたり、読み聞かせ📚をしたり色々やってます。アットホームな雰囲気で楽しくやってます！
9,NakayamaYoshitaka,vxvNakayamaYosh,1331,377,557,"(株)ヴィ・クロス・ヴィジョン 代表。
ゲーム、教育 福祉、VR AR MR等のソフト開発を行う。
クリエイティブ業界発展をめざしインディー・フリーランスサポートや交流会の主催を行う。
転職者をゲーム系大手に押し込んだり年収上げさせるのが趣味。
まずは飯食おう！　連絡求む！"
10,革命のソルホライズン-The Revolution of SolHorizon-,RSolhorizon,1201,501,501,R3Kingdom代表(@rinvoice711)によるボイスドラマを主軸として展開予定の総合プロデュース作品 #革命のソルホライズン 【YouTube】https://t.co/U5jr5zFmsu
11,バンドが知りたい! 宮代みずのSIG!,FmBanShigu,3501,1593,6663,バンドやミュージシャン、「ひと」を知れば、音楽はもっと面白い。パーソナリティ宮代みず(@mizuvoice)のラジオ番組。毎週木・土23:00-23:30 ネットラジオotalisで放送中。【ハッシュタグ  #バンシグ】ツイートは #みず放送委員会 スタッフが投稿します。宮代みず個人は→ @kamiomizu
12,イーグルス,eagles_F2018,155,103,3643,"いじられキャラ、身体絞ろう、趣味;異業種交流会。

あだ名は、いーくん。です。名付け親は、びばおんさんです。"
13,オーディオドラマ「シンイーター」,SinEater_jp,4583,5331,141,2011年にVOCALOID曲を主題歌にしたオーディオドラマ「アンダー・ザ・ブルー」でiTunes Rewind 2011に選出。iTunes Podcast総合ランキング第1位を達成。以降13作連続カテゴリランキング第1位を達成。
14,金澤辰典,okkasan_tatu,2199,1535,30897,CROSS CALLに在籍させて頂いております。そして現役整体師です 「戦国修羅SOUL」の真田大助役 松本零士先生原作「天使の時空船」マジモト役他ラジオのパーソナリティをやらせて頂いたり。あと甘いものとプロレスが好きです！
15,G-Nack_@apex,G_Nack_ps4,163,73,359,Apexとリア垢では言えないことを言うアカ/ランクはレイスパスバンガワトガスおじライフラジブレヴ/エンジョイ勢/とっくの昔に成人済みの34♂
16,Nyamechi(にゃめち),Nyamechi_,4652,1311,1319,#にゃめちドットコム で、#Podcast #YouTube番組 を作っています✏🎧️💻📱制作番組→ #FMTIMEZRADIO 📻喋り手2人は→ トシ @Tosshi_FMTZ 🏍 ガーシー @Ga_C_FMTZ 🗡動画も見て！→ https://t.co/q193iO17LX 🎥
17,たっちん(Tacchin),OTA_Tacchin2230,709,598,106301,インターネットラジオ局「ゆめのたね放送局」でパーソナリティやってるオタク。詳細→ https://t.co/4DrTcz2GmX　アイコン：@shimodukirei　さん　ヘッダー：@catblack_p38　さん　ありがとうございます！
